Type,Source/URL,Text/Alt
Image,https://www.dellcdn.com/support/home/bundle/img/herosmnoauth.png,
Image,https://www.dell.com/akam/13/pixel_57f37ca4?a=dD05OTdkMDgyOWIwMDEzOGFiMDhlNWE3MThmMDc0YjRhZjIzNGU3Y2VhJmpzPW9mZg==,
Link,//www.dell.com/en-in,
Link,//www.dell.com/en-in,Dell Technologies
Link,//www.dell.com/premier/home,Premier Sign In
Link,//www.delltechnologies.com/partner/en-in/auth/partner-portal.htm,Partner Program Sign In
Link,//www.dell.com/support/home/en-in,Support
Link,//www.dell.com/en-in,Dell Technologies
Link,//www.dell.com/premier/home,Premier Sign In
Link,//www.delltechnologies.com/partner/en-in/auth/partner-portal.htm,Partner Program Sign In
Link,//www.dell.com/support/home/en-in,Support
Link,//www.dell.com/myaccount/en-in,My Account
Link,//www.dell.com/myaccount/en-in/orders,Order Status
Link,//www.dell.com/myaccount/en-in/account-settings/profile,Profile Settings
Link,//www.dell.com/support/mps/en-in/myproducts,My Products
Link,https://www.dell.com/di/v3/fp/session/logout/3a4eea6a-4a4e-4f2e-be4a-adc5d51a357a?redirect_uri=,Sign Out
Link,https://www.dell.com/di/v3/fp/session/authorize?client_id=3a4eea6a-4a4e-4f2e-be4a-adc5d51a357a&redirect_uri=,Sign In
Link,https://www.dell.com/di/v3/fp/session/authorize?client_id=3a4eea6a-4a4e-4f2e-be4a-adc5d51a357a&action=register&redirect_uri=,Create an Account
Link,//www.dell.com/premier/home,Premier Sign In
Link,//www.delltechnologies.com/partner/en-in/auth/partner-portal.htm,Partner Program Sign In
Link,https://www.dell.com/en-in/lp/contact-us,Contact Us
Link,//www.dell.com/en-in,Products
Link,//www.dell.com/en-in/lp/dt/solutions,Solutions
Link,//www.dell.com/en-in/lp/dt/services,Services
Link,//www.dell.com/support/home/en-in,Support Home
Link,//www.dell.com/support/contents/en-in/category/product-support/self-support-knowledgebase,Support Library
Link,//www.dell.com/support/contents/en-in/videos,Support Videos
Link,//www.dell.com/support/contractservices/en-in/,Support Services & Warranty
Link,//www.dell.com/support/home/en-in?app=drivers,Drivers & Downloads
Link,//www.dell.com/support/home/en-in?app=manuals,Manuals & Documentation
Link,//www.dell.com/support/home/en-in/quicktest,PC Diagnostics
Link,//www.dell.com/support/contents/en-in/article/warranty/Self-Repair,Self-Repair & Parts
Link,//www.dell.com/support/incidents-online/en-in/srsearch,Service Requests & Dispatch Status
Link,//www.dell.com/support/order-status/en-in/order-support,Order Support
Link,//www.dell.com/support/incidents-online/en-in/contactus/dynamic?spestate,Contact Technical Support
Link,//www.dell.com/community/en/categories/dell-community,Community
Link,https://www.dell.com/en-in/lp/contact-us,Contact Us
Link,https://www.dell.com/dci/fp/session/authorize?client_id=3a4eea6a-4a4e-4f2e-be4a-adc5d51a357a&redirect_uri=https%3A%2F%2Fwww.dell.com%2Fsupport%2Fhome%2Fen-in,Sign In
Link,https://www.dell.com/di/v3/fp/session/authorize?client_id=3a4eea6a-4a4e-4f2e-be4a-adc5d51a357a&action=register&redirect_uri=https%3A%2F%2Fwww.dell.com%2Fsupport%2Fhome%2Fen-in,Create an Account
Link,https://www.dell.com/dci/fp/session/authorize?client_id=3a4eea6a-4a4e-4f2e-be4a-adc5d51a357a&redirect_uri=https%3A%2F%2Fwww.dell.com%2Fsupport%2Fhome%2Fen-in,Visit our business support site
Link,https://www.dell.com/support/contents/en-in/category/product-support/self-support-knowledgebase/operating-systems/windows-operating-systems,Need help with Windows?
Link,https://www.dell.com/support/home/en-in?app=drivers,Update Drivers
Link,https://www.dell.com/support/home/en-in/quicktest,Scan Hardware
Link,https://www.dell.com/support/home/en-in?app=warranty,Manage Support Services
Link,https://www.dell.com/support/order-status/en-in/order-support,Find Order Status
Link,https://www.dell.com/support/contents/en-in/category/product-support/self-support-knowledgebase,Find Articles
Link,https://www.dell.com/support/contents/en-in/videos,Watch Support Videos
Link,https://www.dell.com/community/Dell-Community/ct-p/English?profile.language=en,Join Community
Link,https://www.dell.com/support/home/en-in?app=manuals,Find Manuals
Link,https://www.dell.com/support/myservice360/en-in,Services management and analytics for IT infrastructure.
Link,https://solve.dell.com/solve/home,"Procedures to install, upgrade and replace IT infrastructure."
Link,https://techdirect.dell.com/portal/Login.aspx,Self-dispatches and monitoring for client devices and servers.
Link,https://www.dell.com/support/home/en-in?app=licenses,Manage Subscriptions
Link,https://www.dell.com/support/mps/en-in,Sign In
Link,https://www.dell.com/myaccount/en-in/overview,Sign In
Link,https://www.dell.com/support/contents/en-in/category/contact-information,Contact Support
Link,//www.dell.com/en-in/sitemap,Site Map
Link,//www.dell.com/myaccount/en-in,My Account
Link,//www.dell.com/myaccount/en-in/orders,Order Status
Link,//www.dell.com/myaccount/en-in/account-settings/profile,Profile Settings
Link,//www.dell.com/support/mps/en-in/myproducts,My Products
Link,//www.dell.com/support/home/en-in,Support Home
Link,//www.dell.com/support/incidents-online/en-in/contactus/dynamic?spestate,Contact Technical Support
Link,//www.dell.com/en-in/lp/return-policy,Returns
Link,//www.dell.com/community/en/categories/dell-community,Community
Link,//www.dell.com/en-in/lp/contact-us,Contact Us
Link,//www.dell.com/en-in/sitemap,Site Map
Link,//www.dell.com/en-in/dt/solutions/artificial-intelligence/index.htm,Artificial Intelligence
Link,//www.dell.com/en-in,Products
Link,//www.dell.com/en-in/lp/dt/solutions,Solutions
Link,//www.dell.com/en-in/lp/dt/services,Services
Link,//www.dell.com/en-in/shop/deals,Deals
Link,//www.dell.com/en-in/lp/dt/who-we-are,Who We Are
Link,//jobs.dell.com/,Careers
Link,//www.delltechnologiescapital.com,Dell Technologies Capital
Link,//investors.delltechnologies.com,Investors
Link,//www.dell.com/en-in/dt/corporate/newsroom.htm,Newsroom
Link,//www.dell.com/en-in/dt/corporate/social-impact/reporting/policies-and-positions/weee-consumer-legislation.htm#tab0=1,Recycling
Link,//www.dell.com/en-in/dt/corporate/social-impact.htm,ESG & Impact
Link,//www.dell.com/en-in/lp/dt/customer-stories,Customer Stories
Link,//dell.my.site.com/FindAPartner/s/partnersearch?language=en&country=in,Find a Partner
Link,//www.dell.com/en-in/lp/dt/oem-solutions,OEM Solutions
Link,//www.delltechnologies.com/partner/en-in/partner/partner.htm,Partner Program
Link,//www.dell.com/en-in/blog/,Blog
Link,//www.dell.com/en-in/lp/dell-rewards-program,Dell Rewards
Link,//www.dell.com/en-in/dt/events/index.htm,Events
Link,//campaign.dell.com/webApp/unifiedSignUp?lang=EN&country=IN,Email Sign-Up
Link,//www.dell.com/en-in/lp/privacy-center,Privacy Centre
Link,//www.dell.com/en-in/dt/about-us/security-and-trust-center/index.htm,Security & Trust Centre
Link,//www.dell.com/en-in/dt/software-downloads/index.htm,Trial Software Downloads
Link,//www.dell.com/en-in,Dell Technologies
Link,//www.dell.com/en-in/lp/dt/dell-premier,Dell Premier
Link,//www.dell.com/en-in/lp/legal/site-terms-of-use-copyright,Copyright Â© 2025 Dell Inc.
Link,//www.dell.com/en-in/lp/legal/terms-of-sale,Terms of Sale
Link,//www.dell.com/en-in/lp/legal/policies-privacy,Privacy Statement
Link,//www.dell.com/en-in/lp/legal/policies-cookies-ads-emails,"Cookies, Ads & Emails"
Link,//www.dell.com/en-in/lp/legal/terms,Legal & Regulatory
Link,//www.dell.com/en-in/lp/accessibility,Accessibility
Button,,
Button,,
Button,,
Button,,
Button,,Support
Button,,Back
Button,,IN/EN
Button,,Back
Button,,Scan Hardware
Button,,Recommended
Button,,Recently Viewed
Button,,Most Popular
Button,,Account
Button,,Support
Button,,Connect with Us
Button,,Our Offerings
Button,,Our Company
Button,,Our Partners
Button,,Resources
